Gmt time,Open,High,Low,Close,Volume
17.08.2012 00:00:00.000,1615.305,1620.115,1611.647,1615.500,58742401.123
18.08.2012 00:00:00.000,1615.500,1615.500,1615.500,1615.500,0
19.08.2012 00:00:00.000,1615.500,1618.060,1614.900,1617.152,631522644.043
20.08.2012 00:00:00.000,1617.159,1622.552,1609.761,1619.452,678156860.3516
21.08.2012 00:00:00.000,1619.452,1641.373,1618.892,1637.518,13016989257.8125
22.08.2012 00:00:00.000,1637.518,1655.952,1634.464,1655.491,654433105.4688
23.08.2012 00:00:00.000,1655.507,1674.852,1653.814,1668.452,467927886.9629
24.08.2012 00:00:00.000,1668.452,1673.863,1662.492,1669.900,103181198.1201
25.08.2012 00:00:00.000,1669.900,1669.900,1669.900,1669.900,0
26.08.2012 00:00:00.000,1670.300,1674.613,1668.900,1673.693,122434097.29
27.08.2012 00:00:00.000,1673.723,1676.773,1662.480,1665.352,746548706.0547
28.08.2012 00:00:00.000,1665.352,1672.303,1656.832,1666.705,629468505.8594
29.08.2012 00:00:00.000,1666.752,1669.872,1652.247,1656.390,530842895.5078
30.08.2012 00:00:00.000,1656.373,1664.100,1650.775,1655.008,468084472.6563
31.08.2012 00:00:00.000,1655.024,1692.952,1645.896,1691.400,86498001.0986
01.09.2012 00:00:00.000,1691.400,1691.400,1691.400,1691.400,0
02.09.2012 00:00:00.000,1691.400,1692.603,1687.356,1688.452,122927001.9531
03.09.2012 00:00:00.000,1688.452,1695.232,1685.391,1692.458,673987487.793
04.09.2012 00:00:00.000,1692.438,1698.898,1687.956,1692.665,660130676.2695
05.09.2012 00:00:00.000,1692.702,1695.067,1687.272,1692.148,447916534.4238
06.09.2012 00:00:00.000,1692.194,1713.675,1691.510,1698.811,843621459.9609
07.09.2012 00:00:00.000,1698.548,1741.678,1688.914,1735.400,115740303.0396
08.09.2012 00:00:00.000,1735.400,1735.400,1735.400,1735.400,0
09.09.2012 00:00:00.000,1735.400,1736.152,1733.652,1736.152,40069381.7139
10.09.2012 00:00:00.000,1736.067,1740.007,1724.300,1727.976,523763305.6641
11.09.2012 00:00:00.000,1727.944,1737.952,1726.752,1733.467,618626770.0195
12.09.2012 00:00:00.000,1733.446,1747.087,1725.163,1731.957,627661071.7773
13.09.2012 00:00:00.000,1732.107,1772.652,1716.714,1768.052,1373789306.6406
14.09.2012 00:00:00.000,1768.052,1777.752,1765.472,1769.600,73428802.4902
15.09.2012 00:00:00.000,1769.600,1769.600,1769.600,1769.600,0
16.09.2012 00:00:00.000,1770.100,1776.552,1768.950,1774.185,115306221.0083
17.09.2012 00:00:00.000,1774.162,1776.352,1754.023,1760.452,750972473.1445
18.09.2012 00:00:00.000,1760.420,1773.319,1751.782,1768.352,909203796.3867
19.09.2012 00:00:00.000,1768.252,1779.352,1761.802,1770.752,754586608.8867
